         2717892 function calls (2667351 primitive calls) in 12.839 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.567    0.567 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/training.py:1(<module>)
        1    0.000    0.000    0.564    0.564 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/impl/api.py:1(<module>)
        1    0.000    0.000    0.550    0.550 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/dtensor/python/api.py:1(<module>)
        1    0.000    0.000    0.545    0.545 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.544    0.544 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/lite/__init__.py:1(<module>)
        1    0.000    0.000    0.542    0.542 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/groupby/generic.py:1(<module>)
        1    0.000    0.000    0.521    0.521 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/dtensor/python/dtensor_device.py:1(<module>)
        1    0.000    0.000    0.517    0.517 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/lite/experimental/__init__.py:1(<module>)
        1    0.000    0.000    0.510    0.510 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/lite/experimental/authoring/__init__.py:1(<module>)
        1    0.000    0.000    0.508    0.508 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/lite/python/authoring/authoring.py:1(<module>)
        1    0.000    0.000    0.503    0.503 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/frame.py:1(<module>)
        1    0.001    0.001    0.500    0.500 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/nn_impl.py:1(<module>)
        1    0.000    0.000    0.499    0.499 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/sparse_tensor.py:1(<module>)
13292/13003    0.040    0.000    0.486    0.000 /home/mgama1/anaconda3/lib/python3.11/typing.py:359(inner)
        1    0.002    0.002    0.483    0.483 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/layers/__init__.py:1(<module>)
     3026    0.109    0.000    0.478    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_decorator.py:78(fullargspec_to_signature)
        1    0.000    0.000    0.461    0.461 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/operators/__init__.py:1(<module>)
        1    0.000    0.000    0.457    0.457 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/__init__.py:1(<module>)
        1    0.000    0.000    0.455    0.455 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/operators/conditional_expressions.py:1(<module>)
        1    0.000    0.000    0.453    0.453 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/operators/control_flow.py:1(<module>)
      822    0.006    0.000    0.447    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:118(filter_traceback)
        1    0.000    0.000    0.447    0.447 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/metrics.py:1(<module>)
        1    0.000    0.000    0.437    0.437 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/operators/py_builtins.py:1(<module>)
        1    0.001    0.001    0.435    0.435 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ragged/ragged_array_ops.py:1(<module>)
        1    0.000    0.000    0.433    0.433 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:1(<module>)
  175/134    0.002    0.000    0.431    0.003 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.429    0.429 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/activations.py:1(<module>)
        1    0.001    0.001    0.429    0.429 /home/mgama1/anaconda3/lib/python3.11/site-packages/numpy/__init__.py:1(<module>)
  175/134    0.310    0.002    0.429    0.003 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.427    0.427 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/ctc_ops.py:1(<module>)
      315    0.010    0.000    0.424    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/deprecation.py:343(deprecated_wrapper)
        1    0.000    0.000    0.411    0.411 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/callbacks.py:1(<module>)
        1    0.000    0.000    0.401    0.401 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/arrow/__init__.py:1(<module>)
        1    0.000    0.000    0.398    0.398 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/arrow/array.py:1(<module>)
        1    0.001    0.001    0.395    0.395 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/layers/__init__.py:1(<module>)
        1    0.000    0.000    0.390    0.390 /home/mgama1/anaconda3/lib/python3.11/site-packages/requests/__init__.py:1(<module>)
     2898    0.039    0.000    0.387    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.385    0.385 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/cond.py:1(<module>)
        1    0.003    0.003    0.377    0.377 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1(<module>)
     1444    0.014    0.000    0.375    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_inspect.py:126(getargspec)
        1    0.000    0.000    0.374    0.374 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/cond_v2.py:1(<module>)
    13229    0.246    0.000    0.370    0.000 /home/mgama1/anaconda3/lib/python3.11/inspect.py:2972(__init__)
    54552    0.315    0.000    0.367    0.000 /home/mgama1/anaconda3/lib/python3.11/enum.py:686(__call__)
        1    0.000    0.000    0.354    0.354 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/custom_gradient.py:1(<module>)
        1    0.000    0.000    0.351    0.351 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/eager/backprop.py:1(<module>)
3139/3057    0.012    0.000    0.350    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/_distutils_hack/__init__.py:82(find_spec)
     1444    0.014    0.000    0.349    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/tf_inspect.py:74(_getargspec)
        1    0.001    0.001    0.347    0.347 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v1/compat/v2/__init__.py:1(<module>)
        1    0.001    0.001    0.343    0.343 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/data/ops/dataset_ops.py:1(<module>)
        1    0.001    0.001    0.343    0.343 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v2/__init__.py:1(<module>)
     2628    0.017    0.000    0.339    0.000 /home/mgama1/anaconda3/lib/python3.11/re/__init__.py:272(_compile)
     3082    0.061    0.000    0.339    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      979    0.041    0.000    0.336    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:631(add_type_based_api_dispatcher)
      2/1    0.000    0.000    0.331    0.331 /home/mgama1/anaconda3/lib/python3.11/site-packages/_distutils_hack/__init__.py:92(spec_for_distutils)
        1    0.001    0.001    0.329    0.329 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/lite/python/convert.py:1(<module>)
        1    0.000    0.000    0.328    0.328 /home/mgama1/anaconda3/lib/python3.11/site-packages/setuptools/__init__.py:1(<module>)
        1    0.000    0.000    0.314    0.314 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v2/compat/__init__.py:1(<module>)
      166    0.005    0.000    0.310    0.002 /home/mgama1/anaconda3/lib/python3.11/re/_compiler.py:740(compile)
        1    0.000    0.000    0.308    0.308 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/layers/activations/__init__.py:1(<module>)
      268    0.001    0.000    0.307    0.001 /home/mgama1/anaconda3/lib/python3.11/re/__init__.py:225(compile)
    20752    0.183    0.000    0.304    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.001    0.001    0.303    0.303 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/compat/v2/compat/v2/__init__.py:1(<module>)
        1    0.000    0.000    0.301    0.301 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/layers/activations/elu.py:1(<module>)
        1    0.000    0.000    0.299    0.299 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/layers/layer.py:1(<module>)
        1    0.000    0.000    0.291    0.291 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/gradients_impl.py:1(<module>)
        1    0.000    0.000    0.288    0.288 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/_arrow_string_mixins.py:1(<module>)
        1    0.000    0.000    0.286    0.286 /home/mgama1/anaconda3/lib/python3.11/site-packages/pyarrow/compute.py:1(<module>)
        1    0.000    0.000    0.284    0.284 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/func_graph.py:1(<module>)
    14813    0.271    0.000    0.271    0.000 {built-in method posix.stat}
    12768    0.025    0.000    0.270    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.269    0.269 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/mirrored_strategy.py:1(<module>)
     5796    0.097    0.000    0.266    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.255    0.255 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/cluster_resolver/__init__.py:1(<module>)
